Q1,Q2,Q3,Q4,Q5,Q6,Q9,Q10,Q14,Q15,Q18,Q24.1,Q24.2,Q24.3,Q24.4,Q24.5,Q24.6,Q24.7,Q24.8,Q40.1,Q40.2,Q40.3,Q40.4,Q40.5,Q40.6,Q40.7,Q40.8,Q40.9,Q40.10,Q40.11,Q40.12,Q40.13,Q40.14,Q41,Q42,Q58,Q72,Q74,Q75,Q76,Q77.1,Q77.2,Q77.3,Q77.4,Q77.5,Q77.6,Q77.7,Q77.8,Q77.9,Q93.1,Q93.2,Q93.3,Q93.4,Q93.5,Q93.6,Q93.7,Q93.8,Q93.9,Q93.10,Q94.1,Q94.2,Q94.3,Q94.4,Q94.5,Q94.6,Q94.7,Q94.8,Q94.9,Q94.10,Q94.11,Q94.12,Q94.13,Q94.14,Q94.15,Q94.16,Q94.17,Q94.18,Q94.19,Q94.20,Q95.1,Q95.2,Q95.3,Q95.4,Q95.5,Q95.6,Q98,Q99,Q100,Q101,Q102,Q103,Q104
2,34,2,3,1,3,12,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,4,3,3,4,3,3,4,4,4,5,4,4,5,3,4,10,2,1,5,2.0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3.0,1,10.0,1,1.0,3
1,36,3,7,1,4,12,0.0,1.0,2.0,1,0,0,1,1,0,0,1,0,5,4,5,4,3,5,4,3,5,4,5,4,4,4,4,9,3,2,4,2.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,3.0,1,9.0,1,2.0,2
1,60,5,1,1,2,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3,3,3,3,3,6,4,4,4,4,4,3,4,6,3,5,3,2,5,5.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,2,0.0,8,0.0,1
1,61,5,16,1,1,1,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,4,4,5,5,2,2,3,4,5,5,4,6,5,6,4,9,2,2,5,2.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,2,0.0,1,4.0,3
1,31,2,13,1,2,1,0.0,2.0,2.0,1,0,0,0,1,0,0,0,0,4,2,3,2,3,2,3,4,2,2,3,3,2,3,2,3,3,4,3,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.0,1,9.0,1,2.0,1
1,32,2,2,1,1,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,2,6,3,3,6,3,4,4,4,4,4,3,4,6,4,7,3,2,4,2.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1.0,2,0.0,1,1.0,3
1,33,2,14,1,1,1,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,3,5,5,3,3,3,3,3,3,3,4,3,3,3,3,5,1,1,3,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2,0.0,6,0.0,1
2,47,4,9,1,1,16,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,5,5,4,6,5,4,5,5,4,5,5,4,5,6,5,10,1,3,5,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,2,0.0,7,0.0,2
2,36,3,14,1,2,2,0.0,1.0,2.0,0,0,1,0,0,0,0,0,0,4,4,6,6,6,6,4,4,4,5,5,3,4,6,5,10,2,1,5,3.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,2,0.0,2,3.0,3
1,51,4,10,1,1,12,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,2,2,4,3,3,3,2,3,3,1,2,2,2,3,2,0,3,1,2,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.0,2,0.0,7,0.0,3
